layer,acc@1,acc@3,acc@5,best_threshold,best_precision,best_recall,best_f1,diag_mean,off_diag_mean,same_avg,diff_avg,gap
1,0.6956956956956957,0.7497497497497497,0.7757757757757757,0.9430332183837892,0.304635761589404,0.158894645941278,0.2088535754824063,1.0,0.6515167355537415,0.8286725878715515,0.6511389017105103,0.17753368616104126
2,0.1781781781781782,0.2332332332332332,0.2622622622622622,0.9917395114898682,0.0356308411214953,0.0351180195739781,0.0353725717599304,1.0,0.8743276000022888,0.8973233103752136,0.8742785453796387,0.02304476499557495
3,0.1241241241241241,0.1461461461461461,0.1601601601601601,0.0010005235671997,0.0021758061462737,0.9925158318940702,0.0043420934985713,0.9999998211860656,0.9333088994026184,0.9505230784416199,0.9332724809646606,0.01725059747695923
4,0.1151151151151151,0.1381381381381381,0.1551551551551551,0.9962396621704102,0.0033293832176513,0.0339666090961427,0.0060643437146674,1.0,0.8234323859214783,0.830062747001648,0.8234179019927979,0.006644845008850098
5,0.1431431431431431,0.1731731731731731,0.1911911911911911,0.9960979223251344,0.0048800564440263,0.0477835348301669,0.0088556948519605,1.0,0.8960667252540588,0.920367419719696,0.8960145711898804,0.024352848529815674
6,0.1271271271271271,0.1541541541541541,0.1701701701701701,0.99632465839386,0.0029142115675054,0.0788716177317213,0.0056207434151144,0.9999998807907104,0.9176750779151917,0.9377355575561523,0.9176320433616638,0.020103514194488525
7,0.2492492492492492,0.3033033033033033,0.3333333333333333,0.995442807674408,0.0025359420267341,0.3759355210132412,0.0050378999749262,0.9999998211860656,0.9468081593513488,0.9686419367790222,0.9467620849609375,0.021879851818084717
8,0.2392392392392392,0.2792792792792792,0.3003003003003003,0.9941750168800354,0.0578703703703703,0.0143926309729418,0.0230520977408944,1.0,0.3705056011676788,0.3531067669391632,0.3705426752567291,-0.017435908317565918
9,0.2812812812812812,0.3433433433433433,0.3693693693693693,0.9895185828208924,0.0185110663983903,0.026482440990213,0.0217906205589767,1.0,0.8116989731788635,0.862010657787323,0.8115917444229126,0.0504189133644104
10,0.4074074074074074,0.4694694694694695,0.4974974974974975,0.9961044192314148,0.0499194847020934,0.0356937248128957,0.0416247062772742,1.0,0.918591856956482,0.9491632580757141,0.9185267090797424,0.03063654899597168
11,0.5835835835835835,0.6556556556556556,0.6736736736736737,0.9749343991279602,0.1120996441281138,0.0725388601036269,0.0880810905277874,1.0,0.7957085967063904,0.8774542808532715,0.7955343127250671,0.08191996812820435
12,0.4244244244244244,0.5185185185185185,0.5595595595595596,0.9913404583930968,0.0648228176318063,0.0431778929188255,0.0518313752591568,1.0,0.87980055809021,0.9252985715866089,0.8797034025192261,0.04559516906738281
